VCD info: dumpfile results/tb_abs_dtc.vcd opened for output.
Time: 0 | din: -128 | dtc_in_unsigned: 128 | din_sign: 0
Time: 5 | din: -127 | dtc_in_unsigned: 127 | din_sign: 0
Time: 10 | din: -126 | dtc_in_unsigned: 126 | din_sign: 0
Time: 15 | din: -125 | dtc_in_unsigned: 125 | din_sign: 0
Time: 20 | din: -124 | dtc_in_unsigned: 124 | din_sign: 0
Time: 25 | din: -123 | dtc_in_unsigned: 123 | din_sign: 0
Time: 30 | din: -122 | dtc_in_unsigned: 122 | din_sign: 0
Time: 35 | din: -121 | dtc_in_unsigned: 121 | din_sign: 0
Time: 40 | din: -120 | dtc_in_unsigned: 120 | din_sign: 0
Time: 45 | din: -119 | dtc_in_unsigned: 119 | din_sign: 0
Time: 50 | din: -118 | dtc_in_unsigned: 118 | din_sign: 0
Time: 55 | din: -117 | dtc_in_unsigned: 117 | din_sign: 0
Time: 60 | din: -116 | dtc_in_unsigned: 116 | din_sign: 0
Time: 65 | din: -115 | dtc_in_unsigned: 115 | din_sign: 0
Time: 70 | din: -114 | dtc_in_unsigned: 114 | din_sign: 0
Time: 75 | din: -113 | dtc_in_unsigned: 113 | din_sign: 0
Time: 80 | din: -112 | dtc_in_unsigned: 112 | din_sign: 0
Time: 85 | din: -111 | dtc_in_unsigned: 111 | din_sign: 0
Time: 90 | din: -110 | dtc_in_unsigned: 110 | din_sign: 0
Time: 95 | din: -109 | dtc_in_unsigned: 109 | din_sign: 0
Time: 100 | din: -108 | dtc_in_unsigned: 108 | din_sign: 0
Time: 105 | din: -107 | dtc_in_unsigned: 107 | din_sign: 0
Time: 110 | din: -106 | dtc_in_unsigned: 106 | din_sign: 0
Time: 115 | din: -105 | dtc_in_unsigned: 105 | din_sign: 0
Time: 120 | din: -104 | dtc_in_unsigned: 104 | din_sign: 0
Time: 125 | din: -103 | dtc_in_unsigned: 103 | din_sign: 0
Time: 130 | din: -102 | dtc_in_unsigned: 102 | din_sign: 0
Time: 135 | din: -101 | dtc_in_unsigned: 101 | din_sign: 0
Time: 140 | din: -100 | dtc_in_unsigned: 100 | din_sign: 0
Time: 145 | din:  -99 | dtc_in_unsigned:  99 | din_sign: 0
Time: 150 | din:  -98 | dtc_in_unsigned:  98 | din_sign: 0
Time: 155 | din:  -97 | dtc_in_unsigned:  97 | din_sign: 0
Time: 160 | din:  -96 | dtc_in_unsigned:  96 | din_sign: 0
Time: 165 | din:  -95 | dtc_in_unsigned:  95 | din_sign: 0
Time: 170 | din:  -94 | dtc_in_unsigned:  94 | din_sign: 0
Time: 175 | din:  -93 | dtc_in_unsigned:  93 | din_sign: 0
Time: 180 | din:  -92 | dtc_in_unsigned:  92 | din_sign: 0
Time: 185 | din:  -91 | dtc_in_unsigned:  91 | din_sign: 0
Time: 190 | din:  -90 | dtc_in_unsigned:  90 | din_sign: 0
Time: 195 | din:  -89 | dtc_in_unsigned:  89 | din_sign: 0
Time: 200 | din:  -88 | dtc_in_unsigned:  88 | din_sign: 0
Time: 205 | din:  -87 | dtc_in_unsigned:  87 | din_sign: 0
Time: 210 | din:  -86 | dtc_in_unsigned:  86 | din_sign: 0
Time: 215 | din:  -85 | dtc_in_unsigned:  85 | din_sign: 0
Time: 220 | din:  -84 | dtc_in_unsigned:  84 | din_sign: 0
Time: 225 | din:  -83 | dtc_in_unsigned:  83 | din_sign: 0
Time: 230 | din:  -82 | dtc_in_unsigned:  82 | din_sign: 0
Time: 235 | din:  -81 | dtc_in_unsigned:  81 | din_sign: 0
Time: 240 | din:  -80 | dtc_in_unsigned:  80 | din_sign: 0
Time: 245 | din:  -79 | dtc_in_unsigned:  79 | din_sign: 0
Time: 250 | din:  -78 | dtc_in_unsigned:  78 | din_sign: 0
Time: 255 | din:  -77 | dtc_in_unsigned:  77 | din_sign: 0
Time: 260 | din:  -76 | dtc_in_unsigned:  76 | din_sign: 0
Time: 265 | din:  -75 | dtc_in_unsigned:  75 | din_sign: 0
Time: 270 | din:  -74 | dtc_in_unsigned:  74 | din_sign: 0
Time: 275 | din:  -73 | dtc_in_unsigned:  73 | din_sign: 0
Time: 280 | din:  -72 | dtc_in_unsigned:  72 | din_sign: 0
Time: 285 | din:  -71 | dtc_in_unsigned:  71 | din_sign: 0
Time: 290 | din:  -70 | dtc_in_unsigned:  70 | din_sign: 0
Time: 295 | din:  -69 | dtc_in_unsigned:  69 | din_sign: 0
Time: 300 | din:  -68 | dtc_in_unsigned:  68 | din_sign: 0
Time: 305 | din:  -67 | dtc_in_unsigned:  67 | din_sign: 0
Time: 310 | din:  -66 | dtc_in_unsigned:  66 | din_sign: 0
Time: 315 | din:  -65 | dtc_in_unsigned:  65 | din_sign: 0
Time: 320 | din:  -64 | dtc_in_unsigned:  64 | din_sign: 0
Time: 325 | din:  -63 | dtc_in_unsigned:  63 | din_sign: 0
Time: 330 | din:  -62 | dtc_in_unsigned:  62 | din_sign: 0
Time: 335 | din:  -61 | dtc_in_unsigned:  61 | din_sign: 0
Time: 340 | din:  -60 | dtc_in_unsigned:  60 | din_sign: 0
Time: 345 | din:  -59 | dtc_in_unsigned:  59 | din_sign: 0
Time: 350 | din:  -58 | dtc_in_unsigned:  58 | din_sign: 0
Time: 355 | din:  -57 | dtc_in_unsigned:  57 | din_sign: 0
Time: 360 | din:  -56 | dtc_in_unsigned:  56 | din_sign: 0
Time: 365 | din:  -55 | dtc_in_unsigned:  55 | din_sign: 0
Time: 370 | din:  -54 | dtc_in_unsigned:  54 | din_sign: 0
Time: 375 | din:  -53 | dtc_in_unsigned:  53 | din_sign: 0
Time: 380 | din:  -52 | dtc_in_unsigned:  52 | din_sign: 0
Time: 385 | din:  -51 | dtc_in_unsigned:  51 | din_sign: 0
Time: 390 | din:  -50 | dtc_in_unsigned:  50 | din_sign: 0
Time: 395 | din:  -49 | dtc_in_unsigned:  49 | din_sign: 0
Time: 400 | din:  -48 | dtc_in_unsigned:  48 | din_sign: 0
Time: 405 | din:  -47 | dtc_in_unsigned:  47 | din_sign: 0
Time: 410 | din:  -46 | dtc_in_unsigned:  46 | din_sign: 0
Time: 415 | din:  -45 | dtc_in_unsigned:  45 | din_sign: 0
Time: 420 | din:  -44 | dtc_in_unsigned:  44 | din_sign: 0
Time: 425 | din:  -43 | dtc_in_unsigned:  43 | din_sign: 0
Time: 430 | din:  -42 | dtc_in_unsigned:  42 | din_sign: 0
Time: 435 | din:  -41 | dtc_in_unsigned:  41 | din_sign: 0
