VCD info: dumpfile results/tb_bias_and_quantize.vcd opened for output.
Time: 0 | dout_relu:   65536 | bias: -128 | dout:   x
Time: 5 | dout_relu:   65536 | bias: -127 | dout:  63
Time: 10 | dout_relu:   65536 | bias: -126 | dout:  63
Time: 15 | dout_relu:   65536 | bias: -125 | dout:  63
Time: 20 | dout_relu:   65536 | bias: -124 | dout:  63
Time: 25 | dout_relu:   65536 | bias: -123 | dout:  63
Time: 30 | dout_relu:   65536 | bias: -122 | dout:  63
Time: 35 | dout_relu:   65536 | bias: -121 | dout:  63
Time: 40 | dout_relu:   65536 | bias: -120 | dout:  63
Time: 45 | dout_relu:   65536 | bias: -119 | dout:  63
Time: 50 | dout_relu:   65536 | bias: -118 | dout:  63
Time: 55 | dout_relu:   65536 | bias: -117 | dout:  63
Time: 60 | dout_relu:   65536 | bias: -116 | dout:  63
Time: 65 | dout_relu:   65536 | bias: -115 | dout:  63
Time: 70 | dout_relu:   65536 | bias: -114 | dout:  63
Time: 75 | dout_relu:   65536 | bias: -113 | dout:  63
Time: 80 | dout_relu:   65536 | bias: -112 | dout:  63
Time: 85 | dout_relu:   65536 | bias: -111 | dout:  63
Time: 90 | dout_relu:   65536 | bias: -110 | dout:  63
Time: 95 | dout_relu:   65536 | bias: -109 | dout:  63
Time: 100 | dout_relu:   65536 | bias: -108 | dout:  63
Time: 105 | dout_relu:   65536 | bias: -107 | dout:  63
Time: 110 | dout_relu:   65536 | bias: -106 | dout:  63
Time: 115 | dout_relu:   65536 | bias: -105 | dout:  63
Time: 120 | dout_relu:   65536 | bias: -104 | dout:  63
Time: 125 | dout_relu:   65536 | bias: -103 | dout:  63
Time: 130 | dout_relu:   65536 | bias: -102 | dout:  63
Time: 135 | dout_relu:   65536 | bias: -101 | dout:  63
Time: 140 | dout_relu:   65536 | bias: -100 | dout:  63
Time: 145 | dout_relu:   65536 | bias:  -99 | dout:  63
Time: 150 | dout_relu:   65536 | bias:  -98 | dout:  63
Time: 155 | dout_relu:   65536 | bias:  -97 | dout:  63
Time: 160 | dout_relu:   65536 | bias:  -96 | dout:  63
Time: 165 | dout_relu:   65536 | bias:  -95 | dout:  63
Time: 170 | dout_relu:   65536 | bias:  -94 | dout:  63
Time: 175 | dout_relu:   65536 | bias:  -93 | dout:  63
Time: 180 | dout_relu:   65536 | bias:  -92 | dout:  63
Time: 185 | dout_relu:   65536 | bias:  -91 | dout:  63
Time: 190 | dout_relu:   65536 | bias:  -90 | dout:  63
Time: 195 | dout_relu:   65536 | bias:  -89 | dout:  63
Time: 200 | dout_relu:   65536 | bias:  -88 | dout:  63
Time: 205 | dout_relu:   65536 | bias:  -87 | dout:  63
Time: 210 | dout_relu:   65536 | bias:  -86 | dout:  63
Time: 215 | dout_relu:   65536 | bias:  -85 | dout:  63
Time: 220 | dout_relu:   65536 | bias:  -84 | dout:  63
Time: 225 | dout_relu:   65536 | bias:  -83 | dout:  63
Time: 230 | dout_relu:   65536 | bias:  -82 | dout:  63
Time: 235 | dout_relu:   65536 | bias:  -81 | dout:  63
Time: 240 | dout_relu:   65536 | bias:  -80 | dout:  63
Time: 245 | dout_relu:   65536 | bias:  -79 | dout:  63
Time: 250 | dout_relu:   65536 | bias:  -78 | dout:  63
Time: 255 | dout_relu:   65536 | bias:  -77 | dout:  63
Time: 260 | dout_relu:   65536 | bias:  -76 | dout:  63
Time: 265 | dout_relu:   65536 | bias:  -75 | dout:  63
Time: 270 | dout_relu:   65536 | bias:  -74 | dout:  63
Time: 275 | dout_relu:   65536 | bias:  -73 | dout:  63
Time: 280 | dout_relu:   65536 | bias:  -72 | dout:  63
Time: 285 | dout_relu:   65536 | bias:  -71 | dout:  63
Time: 290 | dout_relu:   65536 | bias:  -70 | dout:  63
Time: 295 | dout_relu:   65536 | bias:  -69 | dout:  63
Time: 300 | dout_relu:   65536 | bias:  -68 | dout:  63
Time: 305 | dout_relu:   65536 | bias:  -67 | dout:  63
Time: 310 | dout_relu:   65536 | bias:  -66 | dout:  63
Time: 315 | dout_relu:   65536 | bias:  -65 | dout:  63
Time: 320 | dout_relu:   65536 | bias:  -64 | dout:  63
Time: 325 | dout_relu:   65536 | bias:  -63 | dout:  63
Time: 330 | dout_relu:   65536 | bias:  -62 | dout:  63
Time: 335 | dout_relu:   65536 | bias:  -61 | dout:  63
Time: 340 | dout_relu:   65536 | bias:  -60 | dout:  63
Time: 345 | dout_relu:   65536 | bias:  -59 | dout:  63
Time: 350 | dout_relu:   65536 | bias:  -58 | dout:  63
Time: 355 | dout_relu:   65536 | bias:  -57 | dout:  63
Time: 360 | dout_relu:   65536 | bias:  -56 | dout:  63
Time: 365 | dout_relu:   65536 | bias:  -55 | dout:  63
Time: 370 | dout_relu:   65536 | bias:  -54 | dout:  63
