VCD info: dumpfile results/tb_grid.vcd opened for output.
Time: 0 | din:   0 | trig: 0 | rst: 1 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   0 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 20 | din:  32 | trig: 1 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   0 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 70 | din:  32 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   0 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 100070 | din: 252 | trig: 1 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   0 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 100120 | din: 252 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   0 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 200120 | din: 253 | trig: 1 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   0 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 200170 | din: 253 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   0 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 300170 | din: 135 | trig: 1 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   0 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 300220 | din: 135 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   0 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 300785 | din: 135 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   1 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 300905 | din: 135 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   1 | dout3:   1 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 301325 | din: 135 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   1 | dout3:   2 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 301425 | din: 135 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   1 | dout3:   2 | dout4:   1 | dout5:   0 | dout6:   0 | dout7:   0
Time: 400220 | din: 138 | trig: 1 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   1 | dout3:   2 | dout4:   1 | dout5:   0 | dout6:   0 | dout7:   0
Time: 400270 | din: 138 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   1 | dout3:   2 | dout4:   1 | dout5:   0 | dout6:   0 | dout7:   0
Time: 400285 | din: 138 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   1 | dout3:   2 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 400565 | din: 138 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   1 | dout3:   1 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 401105 | din: 138 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   1 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 500270 | din: 170 | trig: 1 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   1 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 500320 | din: 170 | trig: 0 | rst: 0 | dout0:   0 | dout1:   0 | dout2:   0 | dout3:   1 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 500405 | din: 170 | trig: 0 | rst: 0 | dout0:   1 | dout1:   0 | dout2:   0 | dout3:   1 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 501095 | din: 170 | trig: 0 | rst: 0 | dout0:   1 | dout1:   0 | dout2:   0 | dout3:   0 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 600320 | din: 134 | trig: 1 | rst: 0 | dout0:   1 | dout1:   0 | dout2:   0 | dout3:   0 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 600370 | din: 134 | trig: 0 | rst: 0 | dout0:   1 | dout1:   0 | dout2:   0 | dout3:   0 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
